jsic	unified_id	reason
A	UNI-71ff012043	cap_per_jsic
A	UNI-72ed5898be	cap_per_jsic
A	UNI-72f0b32833	cap_per_jsic
A	UNI-7356ca799b	cap_per_jsic
A	UNI-776497a0f7	cap_per_jsic
A	UNI-7835470fa9	cap_per_jsic
A	UNI-783927918a	cap_per_jsic
A	UNI-78e4346aff	cap_per_jsic
A	UNI-7988f82ea5	cap_per_jsic
A	UNI-79d42b4d14	cap_per_jsic
A	UNI-7a5cb73bcd	cap_per_jsic
A	UNI-7d21e6dd82	cap_per_jsic
A	UNI-7d965abe51	cap_per_jsic
A	UNI-7db0e44aa1	cap_per_jsic
A	UNI-7df9633215	cap_per_jsic
A	UNI-80b2e2ab05	cap_per_jsic
A	UNI-80c9f85a35	cap_per_jsic
A	UNI-810e772e51	cap_per_jsic
A	UNI-81b26fcfb6	cap_per_jsic
A	UNI-8257e69979	cap_per_jsic
A	UNI-8290cc72f4	cap_per_jsic
A	UNI-8332c060e1	cap_per_jsic
A	UNI-83b80705d1	cap_per_jsic
A	UNI-8488eebe8f	cap_per_jsic
A	UNI-85dcae0920	cap_per_jsic
A	UNI-86455cd409	cap_per_jsic
A	UNI-8646b12e5d	cap_per_jsic
A	UNI-866d782025	cap_per_jsic
A	UNI-86ebd95e40	cap_per_jsic
A	UNI-8725bb79c9	cap_per_jsic
A	UNI-889063bde0	cap_per_jsic
A	UNI-88bf7437e1	cap_per_jsic
A	UNI-8986d28855	cap_per_jsic
A	UNI-8b3089e954	cap_per_jsic
A	UNI-8b40dd9f9c	cap_per_jsic
A	UNI-8c205b438f	cap_per_jsic
A	UNI-8c901ed391	cap_per_jsic
A	UNI-8cc2864e5f	cap_per_jsic
A	UNI-8f40ac1945	cap_per_jsic
A	UNI-8f67a1bf67	cap_per_jsic
A	UNI-8fc6e8c8e5	cap_per_jsic
A	UNI-8ffb239583	cap_per_jsic
A	UNI-9046f19707	cap_per_jsic
A	UNI-910ea3ec66	cap_per_jsic
A	UNI-927caad0b3	cap_per_jsic
A	UNI-928d0355f1	cap_per_jsic
A	UNI-929447714e	cap_per_jsic
